age,work-class,education,education-num,marital-status,occupation,relationship,race,sex,capitical-gain,capital-loss,hours-per-week,native-country,income
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,1564,0-80,Any,>50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,Black,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,1340,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,Asian-Pac-Islander,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,Black,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0-80,Any,<=50K
0-80,Any,Higher education,10-12,Spouse not present,Any,Not-in-family,White,Female,0,0,0-80,Any,<=50K
