age,work-class,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitical-gain,capital-loss,hours-per-week,native-country,income
0-80,Government,88564,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,31251,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,102359,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,2231,0-80,North America,>50K
0-80,Government,236012,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,166419,Below higher education,any,Spouse not present,Non technical,Not-in-family,Black,Any,3674,0,0-80,North America,<=50K
0-80,Government,195124,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,7430,0,0-80,North America,>50K
0-80,Government,159726,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,194630,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,188343,Below higher education,any,Spouse not present,Non technical,Not-in-family,Black,Any,0,0,0-80,North America,<=50K
0-80,Government,207172,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,210926,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,312767,Below higher education,any,Spouse not present,Non technical,Not-in-family,Black,Any,0,0,0-80,North America,<=50K
0-80,Government,31161,Below higher education,any,Spouse not present,Non technical,Not-in-family,Other,Any,0,0,0-80,North America,<=50K
0-80,Government,448337,Below higher education,any,Spouse not present,Non technical,Not-in-family,Black,Any,0,0,0-80,North America,<=50K
0-80,Government,206190,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,131534,Below higher education,any,Spouse not present,Non technical,Not-in-family,Black,Any,0,0,0-80,North America,<=50K
0-80,Government,183445,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,90653,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,1380,0-80,North America,<=50K
0-80,Government,186634,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,186634,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,>50K
0-80,Government,339772,Below higher education,any,Spouse not present,Non technical,Not-in-family,Black,Any,0,0,0-80,North America,<=50K
0-80,Government,305597,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,304212,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,134181,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,157617,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
0-80,Government,55636,Below higher education,any,Spouse not present,Non technical,Not-in-family,Amer-Indian-Eskimo,Any,0,0,0-80,North America,<=50K
0-80,Government,195516,Below higher education,any,Spouse not present,Non technical,Not-in-family,White,Any,0,0,0-80,North America,<=50K
